timestamp,pid,type,workingSetMB
2026-09-05T11:02:58.8240003-07:00,39116,crashpad-handler,10.48
2026-09-05T11:02:58.8398269-07:00,9168,gpu-process,302.4
2026-09-05T11:02:58.8513958-07:00,8340,utility,38.46
2026-09-05T11:02:58.8604430-07:00,45576,utility,19.17
2026-09-05T11:02:58.8871564-07:00,30008,renderer,82.19
2026-09-05T11:02:58.9341731-07:00,38120,renderer,57.5
2026-09-05T11:02:58.9740617-07:00,34092,renderer,30.11
2026-09-05T11:03:00.1565788-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:00.1690357-07:00,9168,gpu-process,302.4
2026-09-05T11:03:00.1804608-07:00,8340,utility,38.46
2026-09-05T11:03:00.1979895-07:00,45576,utility,19.17
2026-09-05T11:03:00.2086889-07:00,30008,renderer,82.19
2026-09-05T11:03:00.2223868-07:00,38120,renderer,57.5
2026-09-05T11:03:00.2300600-07:00,34092,renderer,30.11
2026-09-05T11:03:01.2293196-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:01.2376918-07:00,9168,gpu-process,302.4
2026-09-05T11:03:01.2516677-07:00,8340,utility,38.46
2026-09-05T11:03:01.2832666-07:00,45576,utility,19.17
2026-09-05T11:03:01.2984698-07:00,30008,renderer,82.19
2026-09-05T11:03:01.3085569-07:00,38120,renderer,57.5
2026-09-05T11:03:01.3191930-07:00,34092,renderer,30.11
2026-09-05T11:03:02.4061730-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:02.4140927-07:00,9168,gpu-process,302.41
2026-09-05T11:03:02.4265180-07:00,8340,utility,38.46
2026-09-05T11:03:02.4369846-07:00,45576,utility,19.17
2026-09-05T11:03:02.4664697-07:00,30008,renderer,82.19
2026-09-05T11:03:02.4770943-07:00,38120,renderer,57.5
2026-09-05T11:03:02.4878695-07:00,34092,renderer,30.11
2026-09-05T11:03:03.5607985-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:03.5716410-07:00,9168,gpu-process,324.56
2026-09-05T11:03:03.5819655-07:00,8340,utility,38.64
2026-09-05T11:03:03.5973152-07:00,45576,utility,19.17
2026-09-05T11:03:03.6146586-07:00,30008,renderer,82.19
2026-09-05T11:03:03.6533166-07:00,38120,renderer,57.53
2026-09-05T11:03:03.6645662-07:00,34092,renderer,30.11
2026-09-05T11:03:04.6898255-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:04.6959379-07:00,9168,gpu-process,384.29
2026-09-05T11:03:04.7120037-07:00,8340,utility,40.67
2026-09-05T11:03:04.7226919-07:00,45576,utility,19.5
2026-09-05T11:03:04.7281550-07:00,30008,renderer,82.7
2026-09-05T11:03:04.7451928-07:00,38120,renderer,72.71
2026-09-05T11:03:04.7556703-07:00,34092,renderer,30.11
2026-09-05T11:03:05.8171756-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:05.8289648-07:00,9168,gpu-process,396.95
2026-09-05T11:03:05.8375358-07:00,8340,utility,63.94
2026-09-05T11:03:05.8523692-07:00,45576,utility,19.5
2026-09-05T11:03:05.8653327-07:00,30008,renderer,82.7
2026-09-05T11:03:05.8778580-07:00,38120,renderer,138.66
2026-09-05T11:03:05.8909772-07:00,34092,renderer,30.11
2026-09-05T11:03:07.0008257-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:07.0228742-07:00,9168,gpu-process,397.09
2026-09-05T11:03:07.0597175-07:00,8340,utility,64.11
2026-09-05T11:03:07.0939290-07:00,45576,utility,19.5
2026-09-05T11:03:07.1157840-07:00,30008,renderer,82.7
2026-09-05T11:03:07.1370170-07:00,38120,renderer,390.49
2026-09-05T11:03:07.1616824-07:00,34092,renderer,30.12
2026-09-05T11:03:08.2042512-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:08.2166335-07:00,9168,gpu-process,396.8
2026-09-05T11:03:08.2288592-07:00,8340,utility,64.14
2026-09-05T11:03:08.2422671-07:00,45576,utility,19.5
2026-09-05T11:03:08.2540894-07:00,30008,renderer,82.7
2026-09-05T11:03:08.2610399-07:00,38120,renderer,435.71
2026-09-05T11:03:08.2793422-07:00,34092,renderer,30.12
2026-09-05T11:03:09.3061632-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:09.3234831-07:00,9168,gpu-process,396.8
2026-09-05T11:03:09.3351124-07:00,8340,utility,65.09
2026-09-05T11:03:09.3536265-07:00,45576,utility,19.5
2026-09-05T11:03:09.3677544-07:00,30008,renderer,82.7
2026-09-05T11:03:09.3845433-07:00,38120,renderer,488.69
2026-09-05T11:03:09.3999312-07:00,34092,renderer,30.12
2026-09-05T11:03:10.4018062-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:10.4175957-07:00,9168,gpu-process,387.07
2026-09-05T11:03:10.4337232-07:00,8340,utility,63.04
2026-09-05T11:03:10.4488585-07:00,45576,utility,19.5
2026-09-05T11:03:10.4654458-07:00,30008,renderer,82.7
2026-09-05T11:03:10.4845204-07:00,38120,renderer,525.07
2026-09-05T11:03:10.5081156-07:00,34092,renderer,30.12
2026-09-05T11:03:11.6175776-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:11.6346156-07:00,9168,gpu-process,385.01
2026-09-05T11:03:11.6502840-07:00,8340,utility,63.2
2026-09-05T11:03:11.6641985-07:00,45576,utility,19.5
2026-09-05T11:03:11.6841708-07:00,30008,renderer,82.7
2026-09-05T11:03:11.6996733-07:00,38120,renderer,570.03
2026-09-05T11:03:11.7135986-07:00,34092,renderer,30.12
2026-09-05T11:03:12.6848557-07:00,39116,crashpad-handler,10.48
2026-09-05T11:03:12.7193383-07:00,9168,gpu-process,376.89
2026-09-05T11:03:12.7376250-07:00,8340,utility,54.98
2026-09-05T11:03:12.7780615-07:00,45576,utility,19.5
